model,precision,recall,threshold,average_precision
Bi-LSTM,0.07318536292741452,0.991869918699187,0.06742750853300095,0.42869403401119865
Bi-LSTM,0.07322929171668667,0.991869918699187,0.06754656881093979,0.42869403401119865
Bi-LSTM,0.07327327327327328,0.991869918699187,0.0678618773818016,0.42869403401119865
Bi-LSTM,0.0733173076923077,0.991869918699187,0.06815510988235474,0.42869403401119865
Bi-LSTM,0.07336139506915214,0.991869918699187,0.06819429993629456,0.42869403401119865
Bi-LSTM,0.07340553549939831,0.991869918699187,0.06819678843021393,0.42869403401119865
Bi-LSTM,0.07344972907886815,0.991869918699187,0.06846161186695099,0.42869403401119865
Bi-LSTM,0.07349397590361446,0.991869918699187,0.06851033866405487,0.42869403401119865
Bi-LSTM,0.07353827606992164,0.991869918699187,0.06856531649827957,0.42869403401119865
Bi-LSTM,0.0735826296743064,0.991869918699187,0.0688459575176239,0.42869403401119865
Bi-LSTM,0.07362703681351841,0.991869918699187,0.06899518519639969,0.42869403401119865
Bi-LSTM,0.07367149758454106,0.991869918699187,0.06917674839496613,0.42869403401119865
Bi-LSTM,0.07371601208459215,0.991869918699187,0.06933189183473587,0.42869403401119865
Bi-LSTM,0.07376058041112454,0.991869918699187,0.06948745995759964,0.42869403401119865
Bi-LSTM,0.07380520266182698,0.991869918699187,0.06953222304582596,0.42869403401119865
Bi-LSTM,0.07384987893462469,0.991869918699187,0.06957189738750458,0.42869403401119865
Bi-LSTM,0.07389460932768019,0.991869918699187,0.06957948952913284,0.42869403401119865
Bi-LSTM,0.07393939393939394,0.991869918699187,0.069674551486969,0.42869403401119865
Bi-LSTM,0.0739842328684051,0.991869918699187,0.06975976377725601,0.42869403401119865
Bi-LSTM,0.07402912621359223,0.991869918699187,0.07010671496391296,0.42869403401119865
Bi-LSTM,0.07407407407407407,0.991869918699187,0.07032585889101028,0.42869403401119865
Bi-LSTM,0.07411907654921021,0.991869918699187,0.07081250101327896,0.42869403401119865
Bi-LSTM,0.07416413373860183,0.991869918699187,0.07091374695301056,0.42869403401119865
Bi-LSTM,0.07420924574209246,0.991869918699187,0.07096876204013824,0.42869403401119865
Bi-LSTM,0.07425441265976872,0.991869918699187,0.07101475447416306,0.42869403401119865
Bi-LSTM,0.07429963459196103,0.991869918699187,0.07124307006597519,0.42869403401119865
Bi-LSTM,0.07434491163924437,0.991869918699187,0.0712728276848793,0.42869403401119865
Bi-LSTM,0.07439024390243902,0.991869918699187,0.07142312079668045,0.42869403401119865
Bi-LSTM,0.07443563148261134,0.991869918699187,0.0716082975268364,0.42869403401119865
Bi-LSTM,0.07448107448107448,0.991869918699187,0.07186443358659744,0.42869403401119865
Bi-LSTM,0.07452657299938913,0.991869918699187,0.07194063812494278,0.42869403401119865
